"wl","Sargassum","Fucus vesiculosus","Zostera marina","Sand (Dark)","Mud","Posidonia oceanica","coral","Sand (Bright)","Zostera noltei"
400,0.01048528,0.0351111111111111,0.047,0.175999448,0.050100238,0.029293523,0.05942,0.232364421864782,0.0365024882845281
401,0.0103794519556,0.0338601398601399,0.0468601398601399,0.176733837,0.0501452206666667,0.029263553,0.058822,0.232853908936682,0.0364310551786069
402,0.0103165168933,0.0331608391608392,0.0461608391608392,0.17778454,0.0502174506666667,0.029267946,0.058224,0.233354245799588,0.036313015554913
403,0.0102645073333,0.0324652777777778,0.046,0.178835243,0.050316928,0.0292671,0.057626,0.233843269620931,0.0363342814787724
404,0.01024421872,0.032,0.0457724137931035,0.179322615,0.050554748,0.029213067,0.057028,0.234347838123639,0.0363587196986421
405,0.01025021512,0.032,0.0450827586206897,0.180108562,0.0507614706666667,0.029085989,0.05643,0.234921281063929,0.0363331030278432
406,0.01027906596,0.0313888888888889,0.045,0.180894509,0.050937096,0.028896887,0.056074,0.23562200764628,0.0363212173510909
407,0.01031909952,0.0313034482758621,0.045,0.181803867,0.0511305066666667,0.028695249,0.055718,0.236343774749471,0.0363170227283339
408,0.01035960804,0.0319931034482759,0.045,0.1825843975,0.0513297506666667,0.028562957,0.055362,0.237031390941723,0.0363016556285459
409,0.010389936,0.0306344827586207,0.045,0.183364928,0.051534828,0.028461468,0.055006,0.237750289056478,0.0363164712296585
410,0.01040109028,0.0303724137931035,0.045,0.1844244,0.051750576,0.028344296,0.05465,0.238508576291486,0.0363555684222832
411,0.01039071732,0.0309379310344828,0.0449379310344828,0.185151301,0.0519736953333333,0.028183382,0.05424,0.239349464378058,0.0363715481606846
412,0.01036239788,0.030248275862069,0.044248275862069,0.185878202,0.052204186,0.028087038,0.05383,0.240154006662905,0.0363767683940333
413,0.01032319516,0.0295586206896552,0.044,0.186630905,0.0524564126666667,0.028051559,0.05342,0.240858608787504,0.0363976494818204
414,0.01028147248,0.0291301369863014,0.044,0.187577896,0.052723632,0.028095479,0.05301,0.241632494716426,0.036414057713756
415,0.0102446688,0.0298150684931507,0.044,0.188524887,0.053005844,0.027974297,0.0526,0.242420700590677,0.0364404704251678
416,0.01021601924,0.0295,0.0435,0.189464003,0.0533243606666667,0.027825495,0.051964,0.243200199057968,0.0365093011127899
417,0.01019464552,0.029,0.043,0.19032985,0.0536622583333333,0.027671787,0.051328,0.244013743176652,0.0365480152164842
